oldUrl,oldPath,newUrl,statusCode,titleOld,titleNew,oldWordCount,newWordCount,oldLineCount,matchedLineCount,lineCoverage,notes
"https://www.mekorhabracha.org/events-1/mekor-pesach-seders","/events-1/mekor-pesach-seders","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/mekor-pesach-seders","401","Mekor Pesach Seders | Mekor 3","Login – Vercel","131","41","5","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers","/events-1/mekor-shabbat-with-the-sachers","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/mekor-shabbat-with-the-sachers","401","Mekor Shabbat with the Sachers | Mekor 3","Login – Vercel","173","41","6","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers-1","/events-1/mekor-shabbat-with-the-sachers-1","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/mekor-shabbat-with-the-sachers-1","401","Mekor Shabbat with the Sachers | Mekor 3","Login – Vercel","179","41","5","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers-2","/events-1/mekor-shabbat-with-the-sachers-2","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/mekor-shabbat-with-the-sachers-2","401","Mekor Shabbat with the Sachers | Mekor 3","Login – Vercel","179","41","5","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/mekors-tot-shabbat","/events-1/mekors-tot-shabbat","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/mekors-tot-shabbat","401","Mekor’s Tot Shabbat | Mekor 3","Login – Vercel","127","41","5","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/pesach-at-mekor","/events-1/pesach-at-mekor","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/pesach-at-mekor","401","Pesach at Mekor | Mekor 3","Login – Vercel","100","41","3","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/purim-at-mekor","/events-1/purim-at-mekor","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/purim-at-mekor","401","Purim at Mekor | Mekor 3","Login – Vercel","154","41","6","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/scholar-in-residence-shabbat-with-rabbi-aaron-goldscheider","/events-1/scholar-in-residence-shabbat-with-rabbi-aaron-goldscheider","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/scholar-in-residence-shabbat-with-rabbi-aaron-goldscheider","401","Scholar in Residence Shabbat With Rabbi Aaron Goldscheider | Mekor 3","Login – Vercel","145","41","8","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/shabbat-dinner-and-conversation-with-moshe-shamah","/events-1/shabbat-dinner-and-conversation-with-moshe-shamah","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/shabbat-dinner-and-conversation-with-moshe-shamah","401","Shabbat Dinner and Conversation with Moshe Shamah | Mekor 3","Login – Vercel","212","41","6","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/shabbat-shuva-dinner-kumzitz","/events-1/shabbat-shuva-dinner-kumzitz","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/shabbat-shuva-dinner-kumzitz","401","Shabbat Shuva Dinner Kumzitz | Mekor 3","Login – Vercel","128","41","7","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-1/special-discussion-with-mark-trencher-of-nishma-research","/events-1/special-discussion-with-mark-trencher-of-nishma-research","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-1/special-discussion-with-mark-trencher-of-nishma-research","401","Special Discussion with Mark Trencher of Nishma Research | Mekor 3","Login – Vercel","158","41","6","0","0","Route does not currently resolve on the new site"
"https://www.mekorhabracha.org/events-page","/events-page","https://mekor-l9rll4ycy-michaelort-6483s-projects.vercel.app/events-page","401","Events Page | Mekor 3","Login – Vercel","60","41","0","0","0","Route does not currently resolve on the new site"
